Card 0 (Item 282):
	Name: KURIBOO
	Icon id: 136
	AnimPose Name: e_kuribo
	Animation Name: kuribo_Z_1
	Name Message: ename_000 (Goomba)
	Description Message: ehelp_000
	Buy Price: 10
	Sell Price: 1
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 0
	Sort Value: 241
Card 1 (Item 290):
	Name: MD_KURIBOO_BLK
	Icon id: 136
	AnimPose Name: e_kuribo
	Animation Name: kuribo_Z_1
	Name Message: ename_295 (Dark Goomba)
	Description Message: ehelp_295
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 2
	Sort Value: 242
Card 2 (Item 283):
	Name: TOGEKURI
	Icon id: 136
	AnimPose Name: e_kuribo
	Animation Name: toge_kuribo_Z_2
	Name Message: ename_001 (Spiked Goomba)
	Description Message: ehelp_001
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 4
	Sort Value: 243
Card 3 (Item 284):
	Name: TOGEKURI_BLK
	Icon id: 136
	AnimPose Name: e_kuribo
	Animation Name: toge_kuribo_Z_2
	Name Message: ename_292 (Dark Spiked Goomba)
	Description Message: ehelp_292
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 6
	Sort Value: 244
Card 4 (Item 285):
	Name: PATAKURI
	Icon id: 136
	AnimPose Name: e_kuribo
	Animation Name: pata_kuribo_Z_2
	Name Message: ename_003 (Paragoomba)
	Description Message: ehelp_003
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 7
	Sort Value: 245
Card 5 (Item 286):
	Name: MD_PATAKURI_BLK
	Icon id: 136
	AnimPose Name: e_kuribo
	Animation Name: pata_kuribo_Z_2
	Name Message: ename_293 (Dark Paragoomba)
	Description Message: ehelp_293
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 8
	Sort Value: 246
Card 6 (Item 287):
	Name: YAMI_KURIBOO
	Icon id: 136
	AnimPose Name: e_kuribo_y
	Animation Name: kuribo_Z_1
	Name Message: ename_004 (Gloomba)
	Description Message: ehelp_004
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 3
	Sort Value: 247
Card 7 (Item 288):
	Name: ZUTSUKI_KURIBOO
	Icon id: 136
	AnimPose Name: e_z_kuribo
	Animation Name: z_kuribo_Z_1
	Name Message: ename_005 (Headbonk Goomba)
	Description Message: ehelp_005
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 9
	Sort Value: 248
Card 8 (Item 289):
	Name: ZUTSUKI_KURIBOO_BLK
	Icon id: 136
	AnimPose Name: e_z_kuribo
	Animation Name: z_kuribo_Z_1
	Name Message: ename_294 (Dark Headbonk Goomba)
	Description Message: ehelp_294
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 10
	Sort Value: 249
Card 9 (Item 291):
	Name: NOKONOKO
	Icon id: 136
	AnimPose Name: e_nokoteki
	Animation Name: NKT_Z_1
	Name Message: ename_008 (Koopa Troopa)
	Description Message: ehelp_008
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 11
	Sort Value: 250
Card 10 (Item 295):
	Name: BOSS_NOKONOKO
	Icon id: 136
	AnimPose Name: e_big_nok
	Animation Name: big_nok_Z_1
	Name Message: ename_015 (Mega Koopa)
	Description Message: ehelp_015
	Buy Price: 200
	Sell Price: 100
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 1
	Card Shop Chance: 1
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 17
	Sort Value: 251
Card 11 (Item 294):
	Name: MD_NOKONOKO_BLK
	Icon id: 136
	AnimPose Name: e_nokoteki_r
	Animation Name: NKT_Z_1
	Name Message: ename_287 (Dark Koopa)
	Description Message: ehelp_287
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
