Item 0:
	Name: NULL
	Icon id: 438
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 0
Item 1:
	Name: COIN
	Icon id: 151
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 1
Item 2:
	Name: COIN_x3
	Icon id: 151
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 2
Item 3:
	Name: SPEED_FLOWER
	Icon id: 103
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 0
	XP Gain: 1000
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 3
Item 4:
	Name: SLOW_FLOWER
	Icon id: 104
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 0
	XP Gain: 1000
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 4
Item 5:
	Name: HAPPY_FLOWER
	Icon id: 105
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 0
	XP Gain: 1000
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 5
Item 6:
	Name: KINOKO
	Icon id: 100
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 10
	XP Gain: 1000
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 6
Item 7:
	Name: SUPER_KINOKO
	Icon id: 101
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
	HP Gain: 20
	XP Gain: 1000
	Card Bag Chance: 0
	Card Shop Chance: 0
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 0
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: -1
	Sort Value: 7
Item 8:
	Name: ULTRA_KINOKO
	Icon id: 102
	AnimPose Name: (null pointer)
	Animation Name: (null pointer)
	Name Message: msg_unknown_item (Unavailable Item)
	Description Message: msg_unknown_item
	Buy Price: 0
	Sell Price: 0
